rodada makespan nPeers nMachines upp instance limit goodput badput avTime cost
 8 18945.644444444445980480  50 30 10 NA NA 291954031 22159838  762081259 1790.43116343333349504974
 9 17221.200000000000727596 100 30  1 NA NA  49993959  3807638 1482255586  338.20630941000001712382
 9  4908.000000000000000000  50 30  1 NA NA   1819028    44894  677143648   26.31875160666666246811
 9 12296.887096774193196325 100 30  5 NA NA 313103369 22796123 1489909681 1930.35735907666639832314
 9 18821.857142857141298009  50 30  5 NA NA 249584444 17609570  722486996 1524.72291558000006261864
 9 15903.948275862068840070 100 30 10 NA NA 697177947 51528549 1580781038 4262.08521664666659489740
 9 18055.574074074072996154  50 30 10 NA NA 302232523 22090300  735773553 1847.42984736666653589054
10 11640.222222222222626442 100 30  1 NA NA  62030876  4213262 1151432216  400.70450382000001354754
10 10846.833333333333939663  50 30  1 NA NA   8550319   517804  716911999   67.90238743999999826428
10 13775.728813559322588844 100 30  5 NA NA 339903799 24966566 1519031800 2094.52916848333325106069
10 14000.666666666666060337  50 30  5 NA NA  77733405  5198584  752313229  485.56683326666666289384
10 18719.274809160306176636 100 30 10 NA NA 870054992 63507379 1587829862 5305.45301045666656136746
10 16863.897058823527913773  50 30 10 NA NA 346731410 25563909  767776576 2118.90137032999973598635
