rodada upp submitted finished preempted notStarted submittedTasks finishedTasks success sumOfJobsMakespan sumOfTasksMakespan finishedCost preemptedCost totalCost costByTask nPeers nMachines instance limit group groupedCloudUser utilization realUtilization goodput badput avTime cost hostname ipaddress simulationDuration simulationDurationF
1 10 73 73 0 0 199007 199007 1.0000 1869119 6788900002 1821.0000 0.0000 1821.0000 0.0092 50 30 m2.xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:02:10.060 130060
2 1 6 6 0 0 10414 10414 1.0000 100302 185498877 153.9340 0.0000 153.9340 0.0148 100 30 c1.medium 100 c1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 garoupinha 150.165.85.240 0:00:14.201 14201
2 1 6 6 0 0 10414 10414 1.0000 42223 51424280 230.0890 0.0000 230.0890 0.0221 100 30 c1.xlarge 100 c1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 garoupinha 150.165.85.240 0:00:09.486 9486
2 1 6 6 0 0 10414 10414 1.0000 125374 231860834 392.6970 0.0000 392.6970 0.0377 100 30 m1.large 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 enchada 150.165.85.237 0:00:12.831 12831
2 1 6 6 0 0 10414 10414 1.0000 453600 911615840 352.0580 0.0000 352.0580 0.0338 100 30 m1.small 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 enchada 150.165.85.237 0:00:15.416 15416
2 1 6 6 0 0 10414 10414 1.0000 75908 119912538 439.0000 0.0000 439.0000 0.0422 100 30 m1.xlarge 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 enchada 150.165.85.237 0:00:13.837 13837
2 1 6 6 0 0 10414 10414 1.0000 46717 73803268 524.7580 0.0000 524.7580 0.0504 100 30 m2.2xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 enchada 150.165.85.237 0:00:08.938 8938
2 1 6 6 0 0 10414 10414 1.0000 32482 39560862 685.8110 0.0000 685.8110 0.0659 100 30 m2.4xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 enchada 150.165.85.237 0:00:24.592 24592
2 1 6 6 0 0 10414 10414 1.0000 77159 142704125 408.3610 0.0000 408.3610 0.0392 100 30 m2.xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 enchada 150.165.85.237 0:00:14.521 14521
2 1 1 1 0 0 170 170 1.0000 1646 155305 1.7000 0.0000 1.7000 0.0100 50 30 c1.medium 100 c1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 cariri 127.0.1.1 0:00:02.760 2760
2 1 1 1 0 0 170 170 1.0000 1646 155305 1.5400 0.0000 1.5400 0.0091 50 30 c1.xlarge 100 c1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 cariri 127.0.1.1 0:00:02.085 2085
2 1 1 1 0 0 170 170 1.0000 2058 194111 2.2100 0.0000 2.2100 0.0130 50 30 m1.large 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:00:00.710 710
2 1 1 1 0 0 170 170 1.0000 6120 525162 1.0710 0.0000 1.0710 0.0063 50 30 m1.small 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:00:00.732 732
2 1 1 1 0 0 170 170 1.0000 2058 194111 2.2360 0.0000 2.2360 0.0132 50 30 m1.xlarge 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:00:00.791 791
2 1 1 1 0 0 170 170 1.0000 1266 119486 3.0100 0.0000 3.0100 0.0177 50 30 m2.2xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:00:01.044 1044
2 1 1 1 0 0 170 170 1.0000 1266 119486 3.0800 0.0000 3.0800 0.0181 50 30 m2.4xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:00:00.893 893
2 1 1 1 0 0 170 170 1.0000 1266 119486 2.9750 0.0000 2.9750 0.0175 50 30 m2.xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:00:00.936 936
2 5 62 62 0 0 234432 234432 1.0000 2405227 12221794961 3307.1420 0.0000 3307.1420 0.0141 100 30 c1.medium 100 c1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 cofre 127.0.1.1 0:27:57.858 1677858
2 5 62 62 0 0 234432 234432 1.0000 829064 3008820252 4873.6106 0.0000 4873.6106 0.0208 100 30 c1.xlarge 100 c1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 cofre 127.0.1.1 0:24:02.391 1442391
2 5 62 62 0 0 234432 234432 1.0000 3010780 15326655560 9408.0180 0.0000 9408.0180 0.0401 100 30 m1.large 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 garoupinha 150.165.85.240 0:22:24.823 1344823
2 5 62 62 0 0 234432 234432 1.0000 11814871 62079024844 6921.3430 0.0000 6921.3430 0.0295 100 30 m1.small 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 garoupinha 150.165.85.240 0:16:04.348 964348
2 5 62 62 0 0 234432 234432 1.0000 1686235 7654178102 8876.1680 0.0000 8876.1680 0.0379 100 30 m1.xlarge 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 garoupinha 150.165.85.240 0:13:17.512 797512
2 5 62 62 0 0 234432 234432 1.0000 1031625 4638474537 10009.0720 0.0000 10009.0720 0.0427 100 30 m2.2xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 garoupinha 150.165.85.240 0:10:43.571 643571
2 5 62 62 0 0 234432 234432 1.0000 634395 2274928859 12056.2120 0.0000 12056.2120 0.0514 100 30 m2.4xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 garoupinha 150.165.85.240 0:12:36.428 756428
2 5 62 62 0 0 234432 234432 1.0000 1846593 9358505477 7444.5010 0.0000 7444.5010 0.0318 100 30 m2.xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 garoupinha 150.165.85.240 0:16:56.151 1016151
2 5 28 28 0 0 52609 52609 1.0000 596386 1129787655 562.0740 0.0000 562.0740 0.0107 50 30 c1.medium 100 c1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 cariri 127.0.1.1 0:01:24.257 84257
2 5 28 28 0 0 52609 52609 1.0000 231471 290306685 608.1780 0.0000 608.1780 0.0116 50 30 c1.xlarge 100 c1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 cariri 127.0.1.1 0:01:18.618 78618
2 5 28 28 0 0 52609 52609 1.0000 755564 1436735458 415.1160 0.0000 415.1160 0.0079 50 30 m1.large 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:00:18.729 18729
2 5 28 28 0 0 52609 52609 1.0000 3329284 8037712215 248.5770 0.0000 248.5770 0.0047 50 30 m1.small 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:00:19.385 19385
2 5 28 28 0 0 52609 52609 1.0000 430642 702007283 589.2220 0.0000 589.2220 0.0112 50 30 m1.xlarge 100 m1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:00:17.936 17936
2 5 28 28 0 0 52609 52609 1.0000 262263 427222511 615.3700 0.0000 615.3700 0.0117 50 30 m2.2xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:00:17.609 17609
2 5 28 28 0 0 52609 52609 1.0000 177408 222366432 550.0200 0.0000 550.0200 0.0105 50 30 m2.4xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:00:17.815 17815
2 5 28 28 0 0 52609 52609 1.0000 449621 847363287 546.2675 0.0000 546.2675 0.0104 50 30 m2.xlarge 100 m2 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:00:17.813 17813
2 10 138 138 0 0 434880 434880 1.0000 5068815 19177642498 6253.1500 0.0000 6253.1500 0.0144 100 30 c1.medium 100 c1 FALSE -1.0 -1.0 -1 -1 -1 -1.0 lambaru 127.0.1.1 0:19:14.478 1154478
