rodada makespan nPeers nMachines upp instance limit goodput badput avTime cost
 1   9943.136000000000422006 100 30 10 c1.xlarge 100 -1 -1 -1  6137.451000000000021827873
 1  32243.455999999998311978 100 30 10 m1.large 100 -1 -1 -1 14104.300999999999476131052
 1 128761.888000000006286427 100 30 10 m1.small 100 -1 -1 -1 12901.728999999999359715730
 1  18679.448000000000320142 100 30 10 m1.xlarge 100 -1 -1 -1 12721.579999999999927240424
 1  11471.191999999999097781 100 30 10 m2.2xlarge 100 -1 -1 -1 14448.096999999999752617441
 1   7633.960000000000036380 100 30 10 m2.4xlarge 100 -1 -1 -1 17298.568999999999505234882
 1  19495.511999999998806743 100 30 10 m2.xlarge 100 -1 -1 -1 11019.138000000000829459168
 1  33764.246575342462165281  50 30 10 c1.medium 100 -1 -1 -1  3395.063999999999850842869
 1  11581.520547945205180440  50 30 10 c1.xlarge 100 -1 -1 -1  1792.232999999999947249307
 1  42613.808219178084982559  50 30 10 m1.large 100 -1 -1 -1  1510.261999999999943611328
 1 183000.287671232887078077  50 30 10 m1.small 100 -1 -1 -1  1464.036000000000058207661
 1  23511.767123287670983700  50 30 10 m1.xlarge 100 -1 -1 -1  2697.815999999999803549144
 1  13988.013698630136786960  50 30 10 m2.2xlarge 100 -1 -1 -1  2324.074999999999818101060
 1   8803.424657534245852730  50 30 10 m2.4xlarge 100 -1 -1 -1  1783.180000000000063664629
 1  25604.369863013696885901  50 30 10 m2.xlarge 100 -1 -1 -1  1821.000000000000000000000
 2  16717.000000000000000000 100 30  1 c1.medium 100 -1 -1 -1   153.933999999999997498890
 2   7037.166666666666969832 100 30  1 c1.xlarge 100 -1 -1 -1   230.088999999999998635758
 2  20895.666666666667879326 100 30  1 m1.large 100 -1 -1 -1   392.697000000000002728484
 2  75600.000000000000000000 100 30  1 m1.small 100 -1 -1 -1   352.057999999999992724042
 2  12651.333333333333939663 100 30  1 m1.xlarge 100 -1 -1 -1   439.000000000000000000000
 2   7786.166666666666969832 100 30  1 m2.2xlarge 100 -1 -1 -1   524.758000000000038198777
 2   5413.666666666666969832 100 30  1 m2.4xlarge 100 -1 -1 -1   685.811000000000035470293
 2  12859.833333333333939663 100 30  1 m2.xlarge 100 -1 -1 -1   408.360999999999989995558
 2   1646.000000000000000000  50 30  1 c1.medium 100 -1 -1 -1     1.699999999999999955591
 2   1646.000000000000000000  50 30  1 c1.xlarge 100 -1 -1 -1     1.540000000000000035527
 2   2058.000000000000000000  50 30  1 m1.large 100 -1 -1 -1     2.209999999999999964473
 2   6120.000000000000000000  50 30  1 m1.small 100 -1 -1 -1     1.070999999999999952038
 2   2058.000000000000000000  50 30  1 m1.xlarge 100 -1 -1 -1     2.236000000000000209610
 2   1266.000000000000000000  50 30  1 m2.2xlarge 100 -1 -1 -1     3.009999999999999786837
 2   1266.000000000000000000  50 30  1 m2.4xlarge 100 -1 -1 -1     3.080000000000000071054
 2   1266.000000000000000000  50 30  1 m2.xlarge 100 -1 -1 -1     2.975000000000000088818
 2  38793.983870967742404900 100 30  5 c1.medium 100 -1 -1 -1  3307.141999999999825377017
 2  13372.000000000000000000 100 30  5 c1.xlarge 100 -1 -1 -1  4873.610599999999976716936
 2  48560.967741935484809801 100 30  5 m1.large 100 -1 -1 -1  9408.018000000000029103830
 2 190562.435483870969619602 100 30  5 m1.small 100 -1 -1 -1  6921.342999999999847204890
